starttime	seconds	ctime	dtime	ttime	wait
Tue May 09 23:08:25 2017	1494364105	0	26	27	26
Tue May 09 23:08:24 2017	1494364104	0	26	27	26
Tue May 09 23:08:25 2017	1494364105	0	26	27	26
Tue May 09 23:08:25 2017	1494364105	0	27	27	27
Tue May 09 23:08:25 2017	1494364105	0	26	27	26
Tue May 09 23:08:25 2017	1494364105	0	27	27	27
Tue May 09 23:08:25 2017	1494364105	0	27	27	27
Tue May 09 23:08:24 2017	1494364104	0	27	27	27
Tue May 09 23:08:25 2017	1494364105	0	27	27	27
Tue May 09 23:08:25 2017	1494364105	0	27	27	27
Tue May 09 23:08:25 2017	1494364105	0	27	27	26
Tue May 09 23:08:24 2017	1494364104	0	27	27	27
Tue May 09 23:08:25 2017	1494364105	0	27	27	27
Tue May 09 23:08:25 2017	1494364105	0	27	27	26
Tue May 09 23:08:25 2017	1494364105	0	27	27	27
Tue May 09 23:08:25 2017	1494364105	0	27	27	27
Tue May 09 23:08:25 2017	1494364105	0	27	27	27
Tue May 09 23:08:25 2017	1494364105	0	27	27	27
Tue May 09 23:08:25 2017	1494364105	0	27	27	27
Tue May 09 23:08:25 2017	1494364105	0	27	27	27
Tue May 09 23:08:25 2017	1494364105	6	21	27	21
Tue May 09 23:08:25 2017	1494364105	0	27	27	27
Tue May 09 23:08:25 2017	1494364105	0	27	27	27
Tue May 09 23:08:25 2017	1494364105	0	27	27	27
Tue May 09 23:08:25 2017	1494364105	0	27	27	27
Tue May 09 23:08:25 2017	1494364105	0	27	27	27
Tue May 09 23:08:24 2017	1494364104	0	27	27	27
Tue May 09 23:08:25 2017	1494364105	0	27	27	27
Tue May 09 23:08:25 2017	1494364105	0	27	27	27
Tue May 09 23:08:25 2017	1494364105	0	27	27	27
Tue May 09 23:08:25 2017	1494364105	0	27	27	27
Tue May 09 23:08:25 2017	1494364105	0	27	27	27
Tue May 09 23:08:24 2017	1494364104	0	27	27	27
Tue May 09 23:08:25 2017	1494364105	0	27	27	27
Tue May 09 23:08:25 2017	1494364105	0	27	27	27
Tue May 09 23:08:25 2017	1494364105	0	27	27	27
Tue May 09 23:08:24 2017	1494364104	0	27	28	27
Tue May 09 23:08:25 2017	1494364105	0	27	28	27
Tue May 09 23:08:25 2017	1494364105	0	27	28	27
Tue May 09 23:08:25 2017	1494364105	0	27	28	27
Tue May 09 23:08:25 2017	1494364105	0	28	28	28
Tue May 09 23:08:25 2017	1494364105	0	28	28	27
Tue May 09 23:08:25 2017	1494364105	0	28	28	28
Tue May 09 23:08:25 2017	1494364105	5	23	28	23
Tue May 09 23:08:25 2017	1494364105	0	28	28	28
Tue May 09 23:08:25 2017	1494364105	0	28	28	28
Tue May 09 23:08:25 2017	1494364105	0	28	28	28
Tue May 09 23:08:25 2017	1494364105	0	28	28	27
Tue May 09 23:08:25 2017	1494364105	0	28	28	28
Tue May 09 23:08:25 2017	1494364105	0	28	28	28
Tue May 09 23:08:25 2017	1494364105	0	28	28	28
Tue May 09 23:08:25 2017	1494364105	0	28	28	28
Tue May 09 23:08:24 2017	1494364104	0	28	28	28
Tue May 09 23:08:25 2017	1494364105	0	28	28	28
Tue May 09 23:08:24 2017	1494364104	0	28	28	28
Tue May 09 23:08:25 2017	1494364105	0	28	28	28
Tue May 09 23:08:25 2017	1494364105	0	28	28	28
Tue May 09 23:08:25 2017	1494364105	0	28	28	28
Tue May 09 23:08:25 2017	1494364105	0	28	28	28
Tue May 09 23:08:25 2017	1494364105	0	28	28	27
Tue May 09 23:08:25 2017	1494364105	0	28	28	28
Tue May 09 23:08:25 2017	1494364105	0	28	28	28
Tue May 09 23:08:25 2017	1494364105	0	28	28	28
Tue May 09 23:08:25 2017	1494364105	0	28	28	28
Tue May 09 23:08:24 2017	1494364104	0	28	28	28
Tue May 09 23:08:25 2017	1494364105	0	28	28	28
Tue May 09 23:08:25 2017	1494364105	0	28	28	28
Tue May 09 23:08:25 2017	1494364105	2	27	28	27
Tue May 09 23:08:25 2017	1494364105	0	28	28	28
Tue May 09 23:08:25 2017	1494364105	0	28	28	28
Tue May 09 23:08:25 2017	1494364105	0	28	28	28
Tue May 09 23:08:25 2017	1494364105	0	28	28	28
Tue May 09 23:08:24 2017	1494364104	0	28	28	28
Tue May 09 23:08:25 2017	1494364105	0	28	28	28
Tue May 09 23:08:24 2017	1494364104	1	28	28	28
Tue May 09 23:08:25 2017	1494364105	0	28	28	28
Tue May 09 23:08:24 2017	1494364104	0	28	28	28
Tue May 09 23:08:25 2017	1494364105	0	28	28	28
Tue May 09 23:08:25 2017	1494364105	0	28	28	28
Tue May 09 23:08:25 2017	1494364105	0	28	28	28
Tue May 09 23:08:25 2017	1494364105	0	28	29	28
Tue May 09 23:08:25 2017	1494364105	0	28	29	28
Tue May 09 23:08:24 2017	1494364104	1	28	29	28
Tue May 09 23:08:25 2017	1494364105	0	28	29	28
Tue May 09 23:08:24 2017	1494364104	0	29	29	29
Tue May 09 23:08:25 2017	1494364105	0	29	29	28
Tue May 09 23:08:25 2017	1494364105	0	29	29	29
Tue May 09 23:08:25 2017	1494364105	0	29	29	29
Tue May 09 23:08:25 2017	1494364105	0	29	29	28
Tue May 09 23:08:24 2017	1494364104	0	29	29	29
Tue May 09 23:08:25 2017	1494364105	0	29	29	29
Tue May 09 23:08:25 2017	1494364105	0	29	29	29
Tue May 09 23:08:25 2017	1494364105	0	29	29	29
Tue May 09 23:08:25 2017	1494364105	1	28	29	28
Tue May 09 23:08:24 2017	1494364104	1	28	29	28
Tue May 09 23:08:25 2017	1494364105	0	29	29	29
Tue May 09 23:08:25 2017	1494364105	0	29	29	29
Tue May 09 23:08:25 2017	1494364105	0	29	29	29
Tue May 09 23:08:25 2017	1494364105	0	28	29	28
Tue May 09 23:08:25 2017	1494364105	0	29	29	29
Tue May 09 23:08:24 2017	1494364104	0	29	29	29
Tue May 09 23:08:25 2017	1494364105	0	29	29	29
Tue May 09 23:08:25 2017	1494364105	0	29	29	29
Tue May 09 23:08:25 2017	1494364105	0	29	29	29
Tue May 09 23:08:24 2017	1494364104	1	28	29	28
Tue May 09 23:08:25 2017	1494364105	0	29	29	28
Tue May 09 23:08:25 2017	1494364105	0	29	29	29
Tue May 09 23:08:25 2017	1494364105	0	29	29	29
Tue May 09 23:08:25 2017	1494364105	0	29	29	29
Tue May 09 23:08:25 2017	1494364105	0	29	29	29
